ID,Бренд,Наименование,Количество,Цена,Цена по акции
420950,D'ARENBERG,"Вино d'Arenberg The Stump Jump White белое сухое, 0.75л",86,1239,1115.1
129702,TENUTA SANT'ANTONIO,"Вино Tenuta Sant'antonio Nanfre Valpolicella красное полусухое, 0.75л",24,2499,0
520969,INSOLITO,"Вино Insolito Reserva красное сухое, 1.5л",69,2459,2213.1
553487,TOKAJI DERESZLA,"Вино Tokaji Dereszla Muskotaly белое полусухое, 0.75л",122,1269,0
554847,CINCINNATO,"Вино Cincinnato Polluce Nero Buono красное сухое, 0.75л",7,2039,0
574554,POLIZIANO,"Вино Poliziano Chianti Colli Senesi красное сухое, 0.75л",7,1999,0
566234,VECCHIA CANTINA,"Вино Vecchia Cantina красное сухое, 0.75л",21,1799,0
519329,BATUTA,"Вино Batuta Rosado розовое cухое, 3л",175,1999,1799.1
521030,CASERE,"Вино Casere Refosco dal Peduncolo Rosso Lison Pramaggiore красное сухое, 0.75л",2,1059,0
470336,VINA VENTISQUERO,"Вино Vina Ventisquero Clasico Ventisquero Merlot красное сухое, 0.75л",16,1099,799
469686,CHATEAU LA GRAVETTE,"Вино Chateau La Gravette красное сухое, 0.75л",214,1399,0
178981,ERSTE & NEUE,"Вино Erste & Neue Kellerei Mezzan Gewurztraminer белое сухое, 0.75л",25,2999,2199
548498,ALAZANI,"Вино Alazani Tsinandali белое сухое, 0.75л",147,579,0
393688,ARABELLA,"Вино Arabella Chenin Blanc белое сухое, 0.75л",14,679,611.1
571350605,REAL AGRADO,"Вино Real Agrado Blanco белое сухое, 0.75л",287,959,863.1
469878,DOPFF,"Вино Dopff & Irion Cuvee Rene Dopff Gewurztraminer белое полусухое, 0.75л",14,2549,1999
393732,EL PESCAITO,"Вино Vicente Gandia El Pescaito Bobal-Cabernet Sauvignon красное сухое, 0.75л",52,599,539.1
134398,MONTES,"Вино Montes Reserva Merlot красное сухое, 0.75л",17,1549,1394.1
241655,CHATEAU BEAUMONT,"Вино Chateau Beaumont Chateau d'Arvigny Haut-Medoc красное сухое, 0.75л",23,2799,0
478573,LUCIEN ALBRECHT,"Вино Lucien Albrecht Riesling Gewurztraminer Reserve полусухое белое, 0.75л",16,1649,0
538049,SOMMELIER,"Вино Sommelier Blauer Zweigelt красное сухое, 1л",306,999,0
479932,УСАДЬБА ПЕРОВСКИХ,"Вино Усадьба Перовских Шардоне Резерв белое сухое, 0.75л",16,819,0
469916,MARQUES DE RISCAL,"Вино Herederos del Marques De Riscal Rueda Verdejo белое сухое, 0.75л",17,1899,1709.1
469729,CHATEAU L'EGLISE,"Вино Chateau L'eglise красное сухое, 0.75л",53,1199,0
395685,DEZZANI,"Вино Dezzani La luna Stelle красное сухое, 0.75л",8,1899,0
133857,MASCIARELLI,"Вино Masciarelli Trebbiano d'Abruzzo белое сухое, 0.75л",12,1599,0
531662,PERLES D'ARGENT,"Вино Perles D'argent Picpoul белое сухое, 0.75л",8,1549,0
117703,MARTIN CODAX,"Вино Martin Codax Albarino белое сухое, 0.75л",39,2399,1999
546859,CANTINA CELLARO,"Вино Cantina Cellaro Luma Grillo белое сухое, 0.75л",38,1869,1399
603205250,MULLED WINE,"Винный напиток Mulled Wine Gluhwein глинтвейн фруктовый красный сладкий, 0.75л",237,219,0
546464,JEAN BOUCHARD,"Вино Jean Bouchard Chablis белое сухое, 0.75л",16,4899,3499
249763,DI LENARDO,"Вино Di Lenardo Sauvignon Blanc белое сухое, 0.75л",33,1519,1199
604950980,LOPEZ DE HARO,"Вино Hacienda Lopez de Haro Tempranillo красное сухое, 0.75л",69,819,737.1
601245523,LETH,"Вино Leth Young & Fresh Zweigelt Rose розовое сухое, 0.75л",21,1399,0
548019,NUVIANA,"Вино Nuviana Rosado розовое сухое, 0.75л",144,729,656.1
470469,DOPFF,"Вино Dopff Riesling белое сухое, 0.75л",10,1999,1599
438546,GANDIA,"Вино Vicente Gandia El Pescaito Bobal-Grenache Rose розовое сухое, 0.75л",68,599,539.1
241172,PORCA DE MURCA,"Вино Porca de Murca белое сухое, 0.75л",17,1199,1079.1
478326,CARE,"Вино Care Tinto Roble сухое красное, 1.5л",23,1699,1529.1
605167489,VALLEE LOIRE,"Вино Vallee Loire Muscadet Sevre Et Maine Sur Lie белое сухое, 0.75л",165,1229,0
455474,VIU MANENT,"Вино Viu Manent Estate Collection Reserva Malbec красное сухое, 0.75л",416,1199,1079.1
496121,INSOLITO,"Вино Insolito красное полусухое, 0.75л",249,779,701.1
393616,MARCEL MARTIN,"Вино Marcel Martin La Jaglerie Rose d'Anjou розовое полусухое, 0.75л",53,1499,0
550975,NUVIANA,"Вино Nuviana Tempranillo-Cabernet Sauvignon красное сухое, 0.75л",237,729,656.1
116422,JERMANN,"Вино Jermann Pinot Grigio белое сухое, 0.75л",8,4699,3499
525160,BADET CLEMENT,"Вино Badet Clement Les Jamelles Sauvignon Blanc белое сухое, 0.75л",47,1549,0
601654364,ROCKY GULLY,"Вино Rocky Gully Cabernets красное сухое, 0.75л",7,2099,1889.1
365855,BODEGAS ARAGONESAS,"Вино Bodegas Aragonesas Crucillon Tinto красное сухое, 0.75л",33,849,764.1
515829,VINA REAL,"Вино Vina Real Evel Branco белое сухое, 0.75л",46,1699,1399
603218616,DISCOVERY BAY,"Вино Discovery Bay Rose Zinfandel розовое полусладкое, 0.75л",188,849,764.1
583696,CHATEAU PEYBONHOMME,"Вино Chateau Peybonhomme Les Tours белое сухое, 0.75л",15,2299,0
563396,DI LENARDO,"Вино Di Lenardo Cabernet Venezia Giulia IGT красное сухое, 0.75л",15,1519,0
594409,CHATEAU BOUCHEREAU,"Вино Chateau Bouchereau белое сухое, 0.75л",11,599,0
531810,BADABADOK,"Вино Badabadok красное сухое, 0.75л",12,3599,3239.1
577430,MASSERIE PIZARI,"Вино Masserie Pizari Primitivo красное полусухое, 0.75л",24,2269,0
616508,MASSERIE PIZARI,"Вино Masserie Pizari Negroamaro красное полусухое, 0.75л",20,2269,0
630468,MONTAGNE,"Вино Montagne Saint-Emilion красное сухое, 0.75л",11,2239,0
444066,TERRE DA VINO,"Вино Terre da Vino Paesi Tuoi Barolo красное сухое, 0.75л",16,4999,0
515514,EL VINCULO CRIANZA,"Вино Alejandro Fernandez El Vinculo Crianza красное сухое, 0.75л",11,2599,1999
515816,VINA REAL,"Вино Vina Real Evel Reserve Red красное сухое, 0.75л",23,3899,3399
550528806,CHATEAU MALARTIC-LAGRAVIERE,"Вино Chateau Malartic-Lagraviere Le Comte de Malartic Pessac-Leognan rouge красное сухое, 0.75л",12,3899,0
592329683,KACHA VALLEY,"Вино Kacha Valley долинное красное сухое, 0.75л",22,3999,0
592190802,KACHA VALLEY,"Вино Kacha Valley долинное белое сухое, 0.75л",11,3999,0
550528816,CHATEAU CANTEMERLE,"Вино Chateau Cantemerle Haut-Medoc красное сухое, 0.75л",6,5399,0
550528836,CHATEAU LAFFITTE CARCASSET,"Вино Chateau Laffitte Carcasset Saint-Estephe красное сухое, 0.75л",15,3199,0
581285,CRANSWICK LAKEFIELD,"Вино Cranswick Lakefield Shiraz красное сухое, 0.75л",19,1389,1250.1
601654529,СОЛНЦЕ ЮГА,"Вино Солнце Юга белое полусладкое, 0.75л",10,299,249
495942,CAMINO DE CASTILLA,"Вино Camino De Castilla Reserva красное сухое, 0.75л",26,1199,1079.1
413521729,KOUASH,"Вино Manukyan Wine Kouash розовое сухое, 0.75л",8,1369,1059
